UTC,Open,High,Low,Close,Volume
07.08.2025 08:33:00.000 UTC,1.16774,1.16798,1.16769,1.16788,57.24
07.08.2025 08:34:00.000 UTC,1.16789,1.16829,1.16789,1.16829,107.47
07.08.2025 08:35:00.000 UTC,1.16831,1.1684,1.16821,1.16833,174.29
07.08.2025 08:36:00.000 UTC,1.16832,1.16851,1.1683,1.16841,199.63
07.08.2025 08:37:00.000 UTC,1.16845,1.1688,1.16841,1.16874,150.7
07.08.2025 08:38:00.000 UTC,1.16872,1.16876,1.1686,1.16865,135.48
07.08.2025 08:39:00.000 UTC,1.16865,1.16875,1.16859,1.16873,110.4
07.08.2025 08:40:00.000 UTC,1.16872,1.16874,1.16858,1.16865,88.58
07.08.2025 08:41:00.000 UTC,1.16863,1.16863,1.16831,1.16831,217.69
07.08.2025 08:42:00.000 UTC,1.16833,1.16835,1.16816,1.1682,85.6
07.08.2025 08:43:00.000 UTC,1.16821,1.16829,1.16817,1.16829,37.35
07.08.2025 08:44:00.000 UTC,1.16828,1.16841,1.16826,1.1684,46.1
07.08.2025 08:45:00.000 UTC,1.16841,1.16851,1.1684,1.16846,35.6
07.08.2025 08:46:00.000 UTC,1.16846,1.16852,1.16834,1.16852,113.7
07.08.2025 08:47:00.000 UTC,1.16851,1.16875,1.16851,1.16865,113.38
07.08.2025 08:48:00.000 UTC,1.16864,1.16868,1.16854,1.16865,62.72
07.08.2025 08:49:00.000 UTC,1.16866,1.1687,1.16849,1.16854,71.22
07.08.2025 08:50:00.000 UTC,1.16858,1.1687,1.16849,1.16855,130.59
07.08.2025 08:51:00.000 UTC,1.16855,1.1686,1.16844,1.16855,118.5
07.08.2025 08:52:00.000 UTC,1.16857,1.1686,1.16853,1.16853,109.21
07.08.2025 08:53:00.000 UTC,1.16853,1.16859,1.1683,1.1683,103.83
07.08.2025 08:54:00.000 UTC,1.16833,1.16836,1.16826,1.16827,69.68
07.08.2025 08:55:00.000 UTC,1.16828,1.1683,1.16809,1.16811,71.76
07.08.2025 08:56:00.000 UTC,1.1681,1.16821,1.16807,1.16817,81.12
07.08.2025 08:57:00.000 UTC,1.16817,1.16828,1.16799,1.16828,91.53
07.08.2025 08:58:00.000 UTC,1.16825,1.16825,1.16808,1.16809,73.23
07.08.2025 08:59:00.000 UTC,1.16811,1.16826,1.16811,1.16824,83.79
07.08.2025 09:00:00.000 UTC,1.16828,1.16846,1.16828,1.16837,61.65
07.08.2025 09:01:00.000 UTC,1.16833,1.16833,1.16814,1.16815,62.55
07.08.2025 09:02:00.000 UTC,1.16815,1.16821,1.16814,1.16816,79.65
